City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Peddāpuram,IN,77.65,broken clouds,17.0833,82.1333,శ్రీ హరి హరా నిలయం
192,Itarema,BR,79.81,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
193,Nang Rong,TH,79.0,overcast clouds,14.6377,102.7914,Phanomrungpuri Boutique Hotels & Resorts
194,Jaqué,PA,83.19,light rain,7.5175,-78.1703,Imbu Bua Lodge
195,Hukuntsi,BW,77.25,clear sky,-24.0,21.75,Entabeni Hotel
196,Duque de Caxias,BR,80.6,few clouds,-22.7856,-43.3117,Mont Blanc Apart Hotel
197,Angoche,MZ,76.21,light rain,-16.2325,39.9086,Guest House HESADA
198,Labuhan,ID,77.58,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
200,Upington,ZA,77.0,clear sky,-28.4478,21.2561,River Place Manor
201,Arlit,NE,80.29,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
202,Pucallpa,PE,84.2,broken clouds,-8.3791,-74.5539,Hospedaje Komby
203,Saint-Denis,RE,78.8,scattered clouds,-20.8667,55.4667,Central Hôtel
204,Ranong,TH,77.43,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
205,Samarai,PG,82.47,scattered clouds,-10.6167,150.6667,Nuli Sapi
206,Bandarbeyla,SO,78.55,broken clouds,9.4942,50.8122,JABIR HOTEL
