City_ID,City,Country,Date,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed
94,Katsuura,JP,2021-03-30 06:01:59,35.1333,140.3,73.4,73,75,6.91
95,Mvuma,ZW,2021-03-30 06:08:50,-19.2792,30.5283,61.36,71,1,8.34
96,Tiznit Province,MA,2021-03-30 06:03:06,29.5833,-9.5,60.28,38,0,7.25
97,Anadyr,RU,2021-03-30 06:08:50,64.75,177.4833,3.2,85,20,26.84
98,Jamestown,US,2021-03-30 06:00:11,42.097,-79.2353,37.99,60,1,8.32
99,Klyuchi,RU,2021-03-30 06:08:50,52.2667,79.1667,25.34,83,58,12.48
100,Sioux Lookout,CA,2021-03-30 06:02:30,50.1001,-91.917,42.8,61,75,11.5
101,Bilibino,RU,2021-03-30 06:08:51,68.0546,166.4372,-2.15,94,99,1.07
102,Odesa,UA,2021-03-30 06:08:51,46.4775,30.7326,42.8,87,0,11.18
103,Bouloupari,NC,2021-03-30 06:08:51,-21.8667,166.05,80.6,69,0,12.66
104,Port Keats,AU,2021-03-30 06:08:52,-14.25,129.55,91.99,39,91,10.94
105,Turukhansk,RU,2021-03-30 06:03:10,65.8167,87.9833,-3.23,86,98,8.63
106,Hithadhoo,MV,2021-03-30 06:01:59,-0.6,73.0833,84.04,74,100,20.27
107,Camargo,MX,2021-03-30 06:08:52,27.6667,-105.1667,65.93,41,85,9.53
108,Namatanai,PG,2021-03-30 06:08:53,-3.6667,152.4333,84.87,68,80,8.88
109,Gladstone,AU,2021-03-30 06:08:53,-23.85,151.25,82.4,47,75,17.27
110,Yangi Marg`ilon,UZ,2021-03-30 06:00:52,40.4272,71.7189,51.8,46,40,9.22
111,Rome,US,2021-03-30 06:02:23,43.2128,-75.4557,27.0,74,1,5.75
112,Sampit,ID,2021-03-30 06:07:16,-2.5333,112.95,86.92,68,97,1.25
113,San Juan,AR,2021-03-30 06:08:53,-31.5375,-68.5364,66.54,33,0,5.88
114,Valparaíso,CL,2021-03-30 06:08:54,-33.0393,-71.6273,48.2,100,75,2.3
115,Karasjok,NO,2021-03-30 06:08:54,69.4719,25.5112,33.8,86,75,2.3
116,Peniche,PT,2021-03-30 05:57:37,39.3558,-9.3811,60.01,76,89,5.99
117,Hervey Bay,AU,2021-03-30 06:03:02,-25.2986,152.8535,73.99,76,5,4.0
118,Yar-Sale,RU,2021-03-30 06:02:58,66.8333,70.8333,5.97,93,80,10.13
119,Kirakira,SB,2021-03-30 06:02:13,-10.4544,161.9205,83.93,74,75,6.6
120,Kavieng,PG,2021-03-30 05:56:46,-2.5744,150.7967,84.88,69,100,9.66
121,Alagoinhas,BR,2021-03-30 06:08:55,-12.1356,-38.4192,71.33,97,63,1.83
122,Oussouye,SN,2021-03-30 06:08:55,12.485,-16.5469,69.8,88,0,4.61
123,Gravdal,NO,2021-03-30 06:08:56,68.1214,13.5031,35.6,100,75,10.36
124,Kpandae,GH,2021-03-30 06:08:56,8.4689,-0.0113,77.63,79,0,4.23
125,Misratah,LY,2021-03-30 06:08:56,32.3754,15.0925,60.04,64,0,3.33
126,Kintampo,GH,2021-03-30 06:02:29,8.0563,-1.7306,73.15,79,0,1.36
127,Antalaha,MG,2021-03-30 06:01:42,-14.9003,50.2788,83.21,71,30,1.72
