,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
134,São Filipe,CV,14.8961,-24.4956,74.37,71,11,8.37,few clouds
135,Merauke,ID,-8.4667,140.3333,78.53,86,100,4.21,overcast clouds
136,Sioux City,US,42.5,-96.4003,84.2,20,1,4.61,clear sky
137,Hofn,IS,64.2539,-15.2082,16.97,57,45,19.66,scattered clouds
138,Saint George,BM,32.3817,-64.6781,60.8,55,75,16.11,broken clouds
139,Bela Palanka,RS,43.2183,22.3111,39.2,81,75,2.3,broken clouds
140,Shellbrook,CA,53.2168,-106.4011,46.4,61,90,14.97,overcast clouds
141,Sisophon,KH,13.5859,102.9737,79.09,79,100,5.37,overcast clouds
142,Dunedin,NZ,-45.8742,170.5036,59.0,70,17,3.0,few clouds
143,Dhidhdhoo,MV,6.8833,73.1,82.76,70,58,12.44,broken clouds
144,Qāzigund,IN,33.6333,75.15,48.43,89,100,3.06,overcast clouds
145,Karasjok,NO,69.4719,25.5112,30.2,93,90,8.05,light snow
146,Bousso,TD,10.4795,16.7117,90.77,17,8,4.36,clear sky
147,Ponta do Sol,CV,17.1994,-25.0919,73.4,73,20,29.93,few clouds
148,Lebanon,US,36.2081,-86.2911,73.4,23,1,5.75,clear sky
149,Quelimane,MZ,-17.8786,36.8883,78.8,78,0,5.75,clear sky
150,Northam,AU,-31.6667,116.6667,59.0,82,92,4.43,overcast clouds
151,Nome,US,64.5011,-165.4064,-0.4,71,90,29.93,snow
152,Mayo,CA,63.5927,-135.8998,26.6,86,90,4.61,light snow
153,Bethel,US,41.3712,-73.414,60.8,23,1,12.66,clear sky
154,Qaqortoq,GL,60.7167,-46.0333,41.0,75,75,6.91,broken clouds
155,Cidreira,BR,-30.1811,-50.2056,73.0,76,6,17.45,clear sky
156,Leh,IN,34.1667,77.5833,34.79,82,99,5.64,overcast clouds
157,Salinas,EC,-2.2167,-80.9667,82.4,65,0,5.75,clear sky
158,Hunucmá,MX,21.0167,-89.8667,86.0,54,75,6.91,broken clouds
159,Saint-Philippe,RE,-21.3585,55.7679,78.8,78,0,5.75,clear sky
160,New Iberia,US,30.0035,-91.8187,73.4,43,1,5.75,clear sky
161,Pisco,PE,-13.7,-76.2167,82.4,54,0,13.8,clear sky
162,Saskylakh,RU,71.9167,114.0833,-26.88,100,23,3.76,few clouds
163,Coquimbo,CL,-29.9533,-71.3436,66.2,63,40,6.91,scattered clouds
164,Saint-François,GP,16.2526,-61.2741,82.4,61,20,12.66,few clouds
165,Roma,AU,-26.5833,148.7833,66.42,81,100,8.79,light rain
166,Troitsko-Pechorsk,RU,62.7084,56.1964,18.57,96,70,3.15,broken clouds
167,Anloga,GH,5.7947,0.8973,84.2,84,20,12.66,few clouds
168,Khasan,RU,42.4308,130.6434,37.67,54,0,4.38,clear sky
